"Cart Product ID","SKU","Product","Price","hsCode","country","Weight","Length","Width","Height",
"#Humidistat control for EcorPro","250","","0.00","1","0","0","0","0","0",
"#44591795700002","PBDGR3434S","62% Boveda Humidipak - Humidity Control (320 Gram)","40.00","","","0.32","0","0","0",
"#45204828848418","PACHGR3864S","AC Infinity Cloudforge T3","129.95","","","2.5","20","20","40",
"#45204795883810","PACHGR3838S","AC Infinity Cloudforge T7 Plant Humidifier, 15L","350.00","","","6","28","28","60",
"#45204992524578","PACTVGR3859S","AC Infinity Cloudline T Series Inline Fans - T10 | 10 Inch | 250mm","590.00","","","8.8","26","40","30",
"#45204992557346","PACTVGR3860S","AC Infinity Cloudline T Series Inline Fans - T12 | 12 Inch | 300mm","700.00","","","12.2","35","55","38",
"#45204992426274","PACTVGR3856S","AC Infinity Cloudline T Series Inline Fans - T4 | 4 Inch | 100mm","275.00","","","3.2","25","35","22",
"#45204992459042","PACTVGR3857S","AC Infinity Cloudline T Series Inline Fans - T6 | 6 Inch | 150mm","325.00","","","3.6","25","35","25",
"#45204992491810","PACTVGR3858S","AC Infinity Cloudline T Series Inline Fans - T8 | 8 Inch | 200mm","440.00","","","5.1","25","35","15",
"#45204827996450","PACOGR3863S","AC Infinity Cloudray S6 Oscillating Fan","99.00","","","1","26","25","15",
"#45204832682274","PACPGR3865S","AC Infinity Humidity Dome with Height Extension 5x8 Cell Tray","99.95","","","2","40","20","25",
"#44591797993762","PADLGR3477S","Adjust A Wing Avenger Batwing Reflector – SE","200.00","","","5","0","0","0",
"#44594120327458","PADLLGR3476S","Adjust A Wing Defender Batwing Reflector SE - Large","125.00","","AU","2","70","58","4",
"#44593644536098","PADMLGR3475S","Adjust A Wing Defender Batwing Reflector SE - Medium","75.00","","","0.5","0","0","0",
"#44591798059298","PADLGR3478S","Adjustawings Single Lampholder Only","40.00","","","0","0","0","0",
"#45361712169250","PAI2FGR3937S","Air Maxx Fabric Pots - 2Gal / 7.5L","7.00","","","0.1","0","0","0",
"#45361712202018","PAI3FGR3938S","Air Maxx Fabric Pots - 3.5Gal / 13L","8.00","","","0.2","0","0","0",
"#45361712234786","PAI6FGR3939S","Air Maxx Fabric Pots - 6Gal / 22.5L","9.00","","","0.3","0","0","0",
"#45361712267554","PAI9FGR3940S","Air Maxx Fabric Pots - 9Gal / 34L","10.00","","","0.4","0","0","0",
"#46971936768290","PAL1GR4019S","Aluminium Amendment Scoop - 140mL","15.00","","","0.1","0","0","0",
"#46971936801058","PAL3GR4020S","Aluminium Amendment Scoop - 340mL","17.50","","","0.15","0","0","0",
"#46971936833826","PAL6GR4021S","Aluminium Amendment Scoop - 682mL","25.00","","","0.2","0","0","0",
"#47109166301474","PANGR4075S","Anova Pot 19L","15.00","","","0","0","0","0",
"#44993667367202","PAP1NGR3264S","Aptus Base - 1L","90.00","","","1.42","26","9.5","9",
"#44993667432738","PAP2NGR3266S","Aptus Base - 20L","1750.00","","","20","0","0","0",
"#44993667399970","PAP5NGR3265S","Aptus Base - 5L","475.00","","","5","0","0","0",
"#44999120060706","PAP1SGR3746S","Aptus BaseBoost - 10KG","525.00","","","10","0","0","0",
"#44999120027938","PAP1SGR3745S","Aptus BaseBoost - 1KG","60.00","","","1","0","0","0",
"#44993732247842","PAP1FGR3284S","Aptus BloomBoost - 100ml","40.00","","","0.1","0","0","0",
"#44999044104482","PAP1FGR3287S","Aptus BloomBoost - 1L","450.00","","","1.42","26","9.5","9",
"#44999044890914","PAP2FGR3289S","Aptus BloomBoost - 20L","7500.00","","","20","0","0","0",
"#44993732280610","PAP2FGR3285S","Aptus BloomBoost - 250ml","105.00","","","0.3","0","0","0",
"#44999043580194","PAP5FGR3286S","Aptus BloomBoost - 500ml","200.00","","","0.5","0","0","0",
"#44999044333858","PAP5FGR3288S","Aptus BloomBoost - 5L","1850.00","","","5","0","0","0",
"#44998963495202","PAP1FGR3305S","Aptus Breakout Powder - 100g","20.00","","","0.1","0","0","0",
"#44998963527970","PAP1FGR3306S","Aptus Breakout Powder - 1KG","180.00","","","1","0","0","0",
"#44998849790242","PAP1AGR3275S","Aptus EcoZen - 1L","180.00","","","1.4","26","9.5","9",
"#44998854803746","PAP2AGR3277S","Aptus EcoZen - 20L","2750.00","","","20","0","0","0",
"#44998846152994","PAP2AGR3273S","Aptus EcoZen - 250ml","60.00","","","0.3","0","0","0",
"#44998861488418","PAP5AGR3274S","Aptus EcoZen - 500ml","100.00","","","0.5","0","0","0",
"#44998853755170","PAP5AGR3276S","Aptus EcoZen - 5L","925.00","","","5","0","0","0",
"#44998915588386","PAP1AGR3278S","Aptus Fasilitor - 100ml","75.00","","","0.1","0","0","0",
"#44998915621154","PAP1AGR3281S","Aptus Fasilitor - 1L","490.00","","","1.4","26","9.5","9",
"#44998915686690","PAP2AGR3283S","Aptus Fasilitor - 20L","7800.00","","","20","0","0","0",
"#44998893371682","PAP2AGR3279S","Aptus Fasilitor - 250ml","150.00","","","0.25","0","0","0",
"#44998898155810","PAP5AGR3280S","Aptus Fasilitor - 500ml","270.00","","","0.5","0","0","0",
"#44998915653922","PAP5AGR3282S","Aptus Fasilitor - 5L","2200.00","","","5","0","0","0",
"#44998946914594","PAP1GR3302S","Aptus Finaleboost - 1L","210.00","","","1.4","26","9.5","9",
"#44998947602722","PAP2GR3304S","Aptus Finaleboost - 20L","2500.00","","","20","0","0","0",
"#44998945472802","PAP2GR3300S","Aptus Finaleboost - 250ml","50.00","","","0.3","0","0","0",
"#44998946652450","PAP5GR3301S","Aptus Finaleboost - 500ml","110.00","","","0.5","0","0","0",
"#44998947275042","PAP5GR3303S","Aptus Finaleboost - 5L","850.00","","","5","0","0","0",
"#44999163511074","PAPSGR3748S","Aptus Hydro Starter Kit","450.00","","","4","0","0","0",
"#44998974406946","PAP1AGR3292S","Aptus MassBoost - 1L","250.00","","","1.4","26","9.5","9",
"#44998974472482","PAP2AGR3294S","Aptus MassBoost - 20L","3250.00","","","20","0","0","0",
"#44998974341410","PAP2AGR3290S","Aptus MassBoost - 250ml","70.00","","","0.25","0","0","0",
"#44998974374178","PAP5AGR3291S","Aptus MassBoost - 500ml","140.00","","","0.5","0","0","0",
"#44998974439714","PAP5AGR3293S","Aptus MassBoost - 5L","1000.00","","","5","0","0","0",
"#44999082115362","PAP1CGR3738S","Aptus Mineral-CALMAG - 1L","45.00","","","1.4","0","0","0",
"#44999082180898","PAP2CGR3740S","Aptus Mineral-CALMAG - 20L","800.00","","","20","0","0","0",
"#44999082148130","PAP5CGR3739S","Aptus Mineral-CALMAG - 5L","210.00","","","5","0","0","0",
"#44999146275106","PAPSGR3747S","Aptus Organic Starter Kit | for Soil / Terra / Coco","190.00","","","1.5","0","0","0",
"#44999005929762","PAP1GR3295S","Aptus PeakBoost - 100ml","30.00","","","0.1","0","0","0",
"#44999009567010","PAP1GR3298S","Aptus PeakBoost - 1L","200.00","","","1","0","0","0",
"#44998997737762","PAP2GR3296S","Aptus PeakBoost - 250ml","55.00","","","0.25","0","0","0",
"#44999007437090","PAP5GR3297S","Aptus PeakBoost - 500ml","110.00","","","0.5","0","0","0",
"#44999011860770","PAP5GR3299S","Aptus PeakBoost - 5L","850.00","","","5","0","0","0",
"#44993672741154","PAP1AGR3267S","Aptus StartBoost - 100ml","45.00","","","0.1","0","0","0",
"#44993672839458","PAP1AGR3270S","Aptus StartBoost - 1L","400.00","","","1","0","0","0",
"#44993672904994","PAP2AGR3272S","Aptus StartBoost - 20L","6200.00","","","20","0","0","0",
