Code,Height,Width,Length,Weight,Description
H0109,4.500000,2.500000,3.800000,0.005000,Feeding systems generally require the use of smaller tubing to reduce the amount of nutrient / water solution flow to the plants. Provided are all the fittings needed to reduce the tubing and control the water flow to the plants. See also the 6mm fitting and accessories.
H0115,4.000000,4.250000,3.600000,0.006000,"Standard tees: used to branch soft, flexible pipes of the same size. Reducing tees: used to branch a smaller size pipe off a larger size pipe. Increasing tees: used to branch a larger size pipe off a smaller size pipe."
D0710,24.000000,8.500000,8.500000,1.500000,"016 Stabilized Oxygen-Di-Atomic Oxygen Booster 1L As most growers are aware that a plant breathes CO2 in the day cycle through its leaves, but the advanced grower is aware that a plant has to consume oxygen through its root zone in order to achieve optimum growth. What is 016? A Fungus - killing water produced in a machine that combines water, electctricity and minerals.It enhances the water properties to create a nuetral anolyte soltion of powerful Di-Atomic Oxygen.This product is produced using very advanced scientific technology that enables the oxygen molecule to remain stable in water for an extended period of time thus allowing a plant to have a readily available supply of oxygen when it is required. Uptake is to such a degree that results are outstanding. For roots, simply add 1ML per 1L of water to return watering system, repeat every 3 days, hand watering 1 - 10ml per 1L and repeat every 3 days.As a foliar, add 20MLS per 1L of water (preferably filtered water) and spray vigorously over affected area once per week until problem subsides. Maybe used weekly as a preventative. CautionAlthough 016 has not shown any detrimental effects to plant growth even with much higher dosages than what have been recommended, however in much the same way as using any new product, please trial on a small section first until the desired result has been achieved.016 is not and has no resemblance to Hydrogen Peroxide (H202), 016 has no adverse affects when in contact with the skin. 016 is pH neutral and its effects are long and lasting unlike that of H202."
D0711,30.000000,10.000000,20.000000,6.000000,"016 Stabilized Oxygen-Di-Atomic Oxygen Booster 5L As most growers are aware that a plant breathes CO2 in the day cycle through its leaves, but the advanced grower is aware that a plant has to consume oxygen through its root zone in order to achieve optimum growth. What is 016? A Fungus - killing water produced in a machine that combines water, electctricity and minerals.It enhances the water properties to create a nuetral anolyte soltion of powerful Di-Atomic Oxygen.This product is produced using very advanced scientific technology that enables the oxygen molecule to remain stable in water for an extended period of time thus allowing a plant to have a readily available supply of oxygen when it is required. Uptake is to such a degree that results are outstanding. For roots, simply add 1ML per 1L of water to return watering system, repeat every 3 days, hand watering 1 - 10ml per 1L and repeat every 3 days.As a foliar, add 20MLS per 1L of water (preferably filtered water) and spray vigorously over affected area once per week until problem subsides. Maybe used weekly as a preventative. CautionAlthough 016 has not shown any detrimental effects to plant growth even with much higher dosages than what have been recommended, however in much the same way as using any new product, please trial on a small section first until the desired result has been achieved.016 is not and has no resemblance to Hydrogen Peroxide (H202), 016 has no adverse affects when in contact with the skin. 016 is pH neutral and its effects are long and lasting unlike that of H202."
H0100,1.500000,8.000000,8.000000,0.010000,"13mm Cross BarbedFour way connector for joining irrigation lines together, secure with locking clamps or Loc-Sure ClampsBarbed Cross is used as a four way connector to join different poly tube irrigation lines together. They are UV stabilised for long lasting durability and performance in harsh Australian outdoor conditions."
H0101,8.000000,5.000000,5.000000,0.029000,"13mm Barbed to Snap on Hose ConnectorBarbed Click On Connectors are used to join click on tap fittings to garden and flexible hoses.There is a barbed 13mm or 19mm tail, and a half inch click on connection.Great to use on a pump in a sump which needs to be disconnected for maintenance regularly."
H0114,8.000000,3.000000,3.800000,0.009000,"Used to connect tube onto your garden tap. The nut screws into the garden tap and the tail attaches to the poly tube or garden hose, which provides a secure and watertight connection.Nut and Tail fittings are UV stabilised for long lasting durability and performance in harsh outdoor conditions."
H0117,2.500000,3.800000,3.500000,0.006000,"13mm Barbed to Click In Hose ConnectorBarbed Click On Connectors are used to join click on tap fittings to garden and flexible hoses.There is a barbed 13mm or 19mm tail, and a half inch click on connection.Great to use on a pump in a sump which needs to be disconnected for maintenance regularly.13mm end connects to 13mm Vinyl. Other end connects to click in hose piece"
H0402,6.000000,5.000000,4.800000,0.009000,13mm line x 25mm Branch TeeConnect 13mm vinyl to 25mm vinyl for better water flow
G9207,0.000000,0.000000,0.000000,0.000000,Kit Contains:1x W1849 Jungle Room Tent - 150x150x200cm1x M0740 Hortitek Eco Hps 600w Light Kit1x N0403 Hydro Axis Rope Ratchet 1/81x L0701 Hydro Axis Mechanical Timer1x J1122 EP FM2 150mm Centrifugal Fan1x J0400 Carbon Filter 150x500mm1x J0802 Wire Core Ducting 150mmx3M
G9113,0.000000,0.000000,0.000000,0.000000,"100mm FM2 Kit EP FM2 Centrifugal Fans are built for high output conditions like hydroponic grow rooms. The fan features an aerodynamic galvanized steel body ideal for moist or humid environments. The fan motor is also perfectly balanced to ensure vibration free use throughout its lifetime in your hydroponic grow room. The 100mm FM2 moves 270m3/hr, making it one of the more powerful fans on the market.  Mountain air filters are the gold standard of carbon filters and have been so for 14 years. Designed to give maximum quality, performance and longevity. No other filter has been able to last more than 3 years of constant use. They offer superior airflow compared to other filters, due to the very low density but high mechanical strength of activated carbon used. Mountain air filters remove 99% of everything under 20 microns from the air in one pass, Including dust, lint, mold spores and organic odours."
G9242,0.000000,0.000000,0.000000,0.000000,1.2m Starter LED KitAll you need to start growing 1x W1847 Jungle room tent 120x120x200cm 1x M4455 Hortitek UFO 200w1x L0701 Hydro axis mechanical timer 1x J1120 Centrifugal fan 100mm1x J0300 Carbon filter 100mmx 400mm 1x J0890 Ducting 100mmx 3mThe 1.2m LED Starter Kit has everything you need to start growing. 
H0105,7.000000,2.400000,22.000000,0.073000,"13mm Inline Barbed Black FilterClean out the filter regularly!The 13mm In-Line Barbed Filter stops the dirt and grit from dirty water entering the irrigation system and blocking drippers and sprays. It can be secured with 13mm locking clamps, requires simple maintenance and can be situated anywhere on line, ideally before drippers."
H0118,2.000000,2.750000,4.000000,0.003000,Standard joiners: used to repair or join two lengths of poly pipe. Reducing joiners: used to join two different size poly pipes.
H0322,5.000000,4.250000,3.800000,0.008000,Standard joiners: used to repair or join two lengths of poly pipe. Reducing joiners: used to join two different size poly pipes.
H0301,7.000000,4.500000,5.200000,0.031000,"Barbed Click On Connectors are used to join click on tap fittings to garden and flexible hoses.There is a barbed 13mm or 19mm tail, and a half inch click on connection.Great to use on a pump in a sump which needs to be disconnected for maintenance regularly."
H0316,5.000000,4.500000,4.400000,0.011000,"Used to connect tube onto your garden tap. The nut screws into the garden tap and the tail attaches to the poly tube or garden hose, which provides a secure and watertight connection.Nut and Tail fittings are UV stabilised for long lasting durability and performance in harsh outdoor conditions."
H0320,6.100000,4.250000,3.800000,0.007000,19mm to Click In Hose Connector to Click into a Hose Connector
H0212,3.500000,16.000000,27.000000,0.110000,19mm Master Pot Tubing 250mm - includes tee and elbow 
H0213,3.500000,16.000000,27.000000,0.110000,19mm Master Pot Tubing 580mm 
H0216,27.300000,2.400000,2.400000,0.067000,19m Master Pot Tubing 275mm Smart Pot
H0307,11.500000,9.000000,5.600000,0.074000,Compact water filter with a cage to catch debris and protect hose and dripper nozzles.
H0352,1.250000,2.200000,2.800000,0.004000,19mm Metal Hose Clamp Spring Loaded
